clusterhead_1,clusterhead_2,distance
16,18,152.926504
16,25,54.301630
16,27,126.525994
16,28,194.653998
16,35,150.168803
16,37,181.817967
16,38,241.749245
16,46,222.484292
16,47,237.523143
16,48,303.806767
16,55,254.082001
16,56,260.967428
16,58,323.458524
16,65,363.979102
16,66,348.037761
16,67,376.941336
16,75,440.072393
16,77,455.685384
18,25,193.350570
18,27,100.277172
18,28,105.590189
18,35,269.587844
18,37,156.234809
18,38,177.378443
18,46,283.150957
18,47,248.554525
18,48,257.837243
18,55,331.294645
18,56,309.336087
18,58,299.985164
18,65,423.839915
18,66,392.123450
18,67,374.013461
18,75,496.639036
18,77,469.376415
25,27,138.560485
25,28,210.155539
25,35,96.347332
25,37,177.549543
25,38,242.773117
25,46,181.081207
25,47,212.054607
25,48,293.214866
25,55,206.349948
25,56,221.202182
25,58,303.880399
25,65,317.776834
25,66,306.238811
25,67,348.247619
25,75,393.460870
25,77,419.871590
27,28,71.598591
27,35,187.582499
27,37,66.700252
27,38,116.849251
27,46,183.249298
27,47,152.159936
27,48,186.863020
27,55,232.398779
27,56,209.153050
27,58,217.970513
27,65,323.618499
27,66,292.791135
27,67,285.303674
27,75,396.741252
27,77,376.782474
28,35,251.902115
28,37,73.485211
28,38,71.974145
28,46,220.770225
28,47,163.283106
28,48,152.725304
28,55,273.134396
28,56,236.127765
28,58,197.603265
28,65,348.084505
28,66,310.003797
28,67,274.512333
28,75,416.062066
28,77,372.318786
35,37,193.990685
35,38,258.010716
35,46,117.761145
35,47,181.895611
35,48,282.930083
35,55,122.836349
35,56,156.900590
35,58,275.670705
35,65,233.691007
35,66,231.799073
35,67,299.188288
35,75,307.347597
35,77,354.099671
37,38,66.310192
37,46,147.645243
37,47,93.472340
37,48,122.692864
37,55,200.169830
37,56,163.020192
37,58,151.270437
37,65,275.913991
37,66,239.709507
37,67,219.937130
37,75,345.530684
37,77,313.558456
38,46,193.621003
38,47,118.329563
38,48,80.814822
38,55,245.283204
38,56,197.024507
38,58,128.150804
38,65,301.088180
38,66,258.446908
38,67,207.062892
38,75,363.342820
38,77,306.140768
46,47,83.238596
46,48,188.282512
46,55,52.615947
46,56,40.676767
46,58,167.148606
46,65,144.784110
46,66,125.681326
46,67,181.568825
46,75,220.510298
46,77,240.452462
47,48,105.621215
47,55,130.972882
47,56,78.803910
47,58,94.707736
47,65,185.532874
47,66,146.800680
47,67,139.651043
47,75,252.838741
47,77,225.506436
48,55,232.605667
48,56,174.628482
48,58,54.865144
48,65,257.896277
48,66,210.813524
48,67,134.260605
48,75,309.561368
48,77,233.433535
55,56,59.971706
55,58,203.142702
55,65,111.898505
55,66,110.759055
55,67,198.267446
55,75,187.170694
55,77,235.819173
56,58,143.175223
56,65,114.527928
56,66,87.682700
56,67,144.630032
56,75,188.029068
56,77,199.776016
58,65,209.914981
58,66,161.848905
58,67,80.023512
58,75,256.823574
58,77,179.484751
65,66,48.322329
65,67,161.821289
65,75,76.138068
65,77,149.905072
66,67,115.763130
66,75,106.058388
66,77,125.863350
67,75,190.707146
67,77,99.472493
75,77,134.189392
