node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
5,15,91.097560,REGISTERED,2,208.06262577797702
6,15,91.097560,REGISTERED,2,208.06262577797702
7,17,99.466144,ROOT,0,197.97749972546504
7,8,92.646548,REGISTERED,2,197.97750243586944
7,18,98.312890,CLUSTER_HEAD,1,197.97751376855302
8,18,98.312890,CLUSTER_HEAD,1,197.97751376855302
8,19,98.202933,REGISTERED,2,176.47731266513355
8,9,89.040046,UNREGISTERED,2,196.47742294420286
9,19,98.202933,REGISTERED,2,176.47731266513355
9,18,98.312890,CLUSTER_HEAD,1,197.97751376855302
14,24,90.671922,REGISTERED,3,210.99867930513233
15,16,99.466144,CLUSTER_HEAD,1,188.06240585065848
15,25,96.347332,CLUSTER_HEAD,2,190.99842295198192
16,17,99.466144,ROOT,0,197.97749972546504
16,25,96.347332,CLUSTER_HEAD,2,190.99842295198192
16,26,77.030659,UNREGISTERED,2,201.6704705255709
17,27,94.913190,CLUSTER_HEAD,1,181.6704129314568
17,18,98.312890,CLUSTER_HEAD,1,197.97751376855302
18,19,98.202933,REGISTERED,2,176.47731266513355
19,29,75.619876,REGISTERED,3,156.47704727654357
23,24,90.671922,REGISTERED,3,210.99867930513233
24,25,96.347332,CLUSTER_HEAD,2,190.99842295198192
24,34,90.671922,UNREGISTERED,4,191.15650427432442
25,35,96.347332,CLUSTER_HEAD,3,191.15646989918676
25,26,77.030659,UNREGISTERED,2,201.6704705255709
26,27,94.913190,CLUSTER_HEAD,1,181.6704129314568
27,37,93.472340,CLUSTER_HEAD,2,192.95371351549412
27,28,75.619876,CLUSTER_HEAD,2,147.5178306738998
28,37,93.472340,CLUSTER_HEAD,2,192.95371351549412
28,38,90.532672,CLUSTER_HEAD,3,173.75169311646565
28,29,75.619876,REGISTERED,3,156.47704727654357
29,39,90.532672,REGISTERED,4,173.75168676410615
34,35,96.347332,CLUSTER_HEAD,3,191.15646989918676
34,44,91.548354,REGISTERED,4,191.15671598970806
34,45,83.754248,UNREGISTERED,4,204.4762161579942
35,44,91.548354,REGISTERED,4,191.15671598970806
35,45,83.754248,UNREGISTERED,4,204.4762161579942
36,46,83.238596,CLUSTER_HEAD,4,192.9536963719022
36,37,93.472340,CLUSTER_HEAD,2,192.95371351549412
36,47,94.707736,CLUSTER_HEAD,3,209.81732946889727
36,26,77.030659,UNREGISTERED,2,201.6704705255709
37,47,94.707736,CLUSTER_HEAD,3,209.81732946889727
37,38,90.532672,CLUSTER_HEAD,3,173.75169311646565
38,48,93.150834,CLUSTER_HEAD,4,173.7516918483678
38,39,90.532672,REGISTERED,4,173.75168676410615
38,49,80.654453,UNREGISTERED,4,193.75175922564011
39,49,80.654453,UNREGISTERED,4,193.75175922564011
43,44,91.548354,REGISTERED,4,191.15671598970806
44,54,76.015236,REGISTERED,6,184.47616969121785
44,45,83.754248,UNREGISTERED,4,204.4762161579942
45,55,73.967191,CLUSTER_HEAD,5,184.47615714696488
45,46,83.238596,CLUSTER_HEAD,4,192.9536963719022
45,54,76.015236,REGISTERED,6,184.47616969121785
46,47,94.707736,CLUSTER_HEAD,3,209.81732946889727
46,56,87.682700,CLUSTER_HEAD,4,149.8189121719413
46,55,73.967191,CLUSTER_HEAD,5,184.47615714696488
47,56,87.682700,CLUSTER_HEAD,4,149.8189121719413
47,58,94.707736,CLUSTER_HEAD,4,182.34239897397882
47,57,97.322110,UNREGISTERED,4,184.2176693721623
48,58,94.707736,CLUSTER_HEAD,4,182.34239897397882
48,59,96.117215,REGISTERED,5,192.8023120340416
48,57,97.322110,UNREGISTERED,4,184.2176693721623
48,49,80.654453,UNREGISTERED,4,193.75175922564011
49,59,96.117215,REGISTERED,5,192.8023120340416
54,55,73.967191,CLUSTER_HEAD,5,184.47615714696488
55,56,87.682700,CLUSTER_HEAD,4,149.8189121719413
56,66,87.682700,CLUSTER_HEAD,5,169.819939644085
57,58,94.707736,CLUSTER_HEAD,4,182.34239897397882
57,67,99.472493,CLUSTER_HEAD,5,189.82104642215998
58,67,99.472493,CLUSTER_HEAD,5,189.82104642215998
58,68,96.643442,REGISTERED,5,202.3426390495023
64,74,87.273863,REGISTERED,8,209.82258605318492
65,66,87.682700,CLUSTER_HEAD,5,169.819939644085
65,76,79.816767,REGISTERED,6,169.8201474766473
65,75,97.550038,CLUSTER_HEAD,7,209.82235101665998
66,76,79.816767,REGISTERED,6,169.8201474766473
67,77,99.472493,CLUSTER_HEAD,6,209.82233047314054
67,68,96.643442,REGISTERED,5,202.3426390495023
69,59,96.117215,REGISTERED,5,192.8023120340416
69,68,96.643442,REGISTERED,5,202.3426390495023
73,74,87.273863,REGISTERED,8,209.82258605318492
74,75,97.550038,CLUSTER_HEAD,7,209.82235101665998
74,85,91.369595,REGISTERED,8,209.82257403224943
74,84,98.853600,REGISTERED,8,209.82264297725834
75,76,79.816767,REGISTERED,6,169.8201474766473
75,85,91.369595,REGISTERED,8,209.82257403224943
75,84,98.853600,REGISTERED,8,209.82264297725834
76,77,99.472493,CLUSTER_HEAD,6,209.82233047314054
77,87,94.227532,REGISTERED,7,209.82257041321387
78,68,96.643442,REGISTERED,5,202.3426390495023
83,84,98.853600,REGISTERED,8,209.82264297725834
84,85,91.369595,REGISTERED,8,209.82257403224943
86,77,99.472493,CLUSTER_HEAD,6,209.82233047314054
86,75,97.550038,CLUSTER_HEAD,7,209.82235101665998
86,85,91.369595,REGISTERED,8,209.82257403224943
86,87,94.227532,REGISTERED,7,209.82257041321387
88,87,94.227532,REGISTERED,7,209.82257041321387
94,84,98.853600,REGISTERED,8,209.82264297725834
95,85,91.369595,REGISTERED,8,209.82257403224943
96,87,94.227532,REGISTERED,7,209.82257041321387
97,87,94.227532,REGISTERED,7,209.82257041321387
