node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.000000,57.488619,152.314491,229.169815,284.685843,366.136310,439.110509,528.192268,617.195102,657.783390,98.763811,95.749076,197.739871,239.276188,304.965074,408.419734,447.819159,532.009615,586.986201,685.002795,158.629670,199.296546,252.785212,277.556360,358.059774,438.401386,502.935523,572.031046,642.077589,706.341250,238.197555,279.142758,310.364307,342.323493,418.067167,453.797006,544.871453,615.848951,681.150807,747.638062,336.649032,337.188258,375.652094,390.295726,436.315779,500.892032,570.170749,633.297655,727.377082,757.031133,389.900851,438.121453,420.496129,457.919193,504.006691,558.850877,606.948385,684.732193,727.952488,818.852317,487.534504,472.798389,510.288607,530.745410,585.155867,650.059491,667.035919,751.362996,776.329012,860.732214,534.631482,563.797383,577.385153,601.562944,664.248592,707.112399,716.808742,792.844204,851.338849,898.144786,640.892517,649.589745,631.428703,685.534897,706.393436,745.154907,803.651188,853.073709,911.538606,961.389937,685.841692,704.497039,722.099894,747.582556,804.454447,825.757241,866.161077,906.357241,962.683546,1015.925795
1,57.488619,0.000000,104.851643,177.023204,234.826734,314.483225,388.792424,477.899017,565.542714,605.846406,84.785507,53.812533,140.871965,182.657894,248.666749,353.334162,391.822546,477.819699,533.071142,631.234503,145.514315,154.553931,198.504570,220.419772,300.577185,381.195773,445.785571,515.417214,585.726292,650.785556,214.348449,240.606869,259.713672,289.727462,361.457156,396.790187,487.389584,558.567991,623.967993,691.209932,308.617793,300.287745,330.102702,339.757791,381.191022,444.568561,513.463226,575.947570,669.889106,699.812076,361.228747,399.533246,375.096273,409.516839,450.241995,503.312593,550.554883,627.422111,670.620554,761.386786,459.632338,438.190891,466.438029,484.471490,534.871698,596.494572,612.105838,694.817940,719.391486,803.420311,503.472944,527.177395,535.244275,555.343383,614.770093,655.284678,662.560147,737.967487,794.884334,841.600407,612.682199,615.776021,591.680660,642.115576,658.433351,694.285535,751.301118,798.594574,856.540555,905.083763,657.373143,669.710588,681.866786,704.464673,756.948305,776.428995,813.981133,852.969986,908.586627,960.602314
2,152.314491,104.851643,0.000000,79.296627,132.405593,214.357317,286.809243,375.879624,465.125416,505.811967,176.450863,128.735010,113.212906,107.307454,165.604828,261.563872,303.722956,382.443266,436.848113,534.500387,227.619445,183.071241,179.687598,171.988002,232.672096,303.131072,365.921858,429.942290,498.180450,559.269626,275.207001,271.057767,250.967119,269.424525,310.235610,339.623803,417.381407,479.384960,542.941149,603.692367,354.983367,329.192581,333.873705,325.157923,341.222964,393.375923,457.068127,509.606553,596.289812,618.847420,403.526912,418.747260,376.732147,399.543564,415.841046,456.838273,496.523688,561.372362,603.732184,685.350532,499.572482,465.123727,468.958852,478.986597,513.840201,559.740771,567.590919,637.602475,657.942117,736.009431,535.697038,546.764608,540.592057,548.120449,595.126159,625.628786,621.226161,692.209744,737.634364,783.237415,648.354298,639.765723,602.066207,641.567080,643.431308,668.024536,718.117253,754.520440,809.039693,848.363688,691.764554,690.568948,689.333805,703.752857,742.070126,754.990082,780.891737,814.031117,865.688624,910.458324
3,229.169815,177.023204,79.296627,0.000000,60.093366,137.465957,212.041907,301.054006,388.582818,428.980585,234.169879,184.936185,110.365735,53.830663,91.542131,182.321469,224.930868,303.479084,358.135756,456.005917,274.358408,199.746856,160.955711,128.589132,165.601465,227.869761,289.266927,351.360828,419.145908,479.977510,302.653532,276.479686,228.779241,236.252846,251.073713,275.420823,344.505145,402.373503,465.192607,524.592642,366.186998,328.682692,314.043459,292.037672,288.601528,331.504253,390.860449,437.634211,520.791557,540.969142,409.213162,406.090329,352.825591,365.995294,364.390855,396.534749,431.106849,489.174011,530.920071,608.770167,500.021908,456.579286,442.006466,445.912460,468.968212,503.749256,506.779142,569.169104,587.322612,662.450976,529.153577,530.302734,513.732799,512.074581,549.660489,573.199482,561.684825,629.489072,668.624004,713.496477,642.152833,624.707227,577.566882,608.490895,600.344956,617.237386,662.513154,692.300619,744.641888,779.154340,683.864700,672.322472,661.252786,669.654895,697.856594,706.374837,724.833369,754.328940,803.489111,844.247643
4,284.685843,234.826734,132.405593,60.093366,0.000000,83.013881,154.430541,243.539213,332.828261,373.591736,294.260223,245.015556,163.524710,93.932008,85.992259,141.077384,186.710953,253.797408,307.023253,403.909074,333.691147,253.727981,202.601360,157.413717,161.658796,202.608023,258.097778,312.042154,376.541397,432.895395,357.741827,324.226487,263.924140,263.417900,252.246923,268.705825,321.193075,368.312702,428.224201,480.952440,414.684087,372.505440,347.363623,316.738512,295.681004,326.073159,377.956175,414.532322,489.623657,503.090490,454.669059,441.781639,382.381641,388.103521,370.274331,391.527812,418.632942,465.058506,505.271648,574.410467,541.833923,493.933008,467.561488,466.736798,479.232190,502.076734,499.350013,550.596944,565.110293,634.513543,566.824627,561.876286,538.297799,529.478193,558.249306,574.577400,555.182821,618.407615,648.443865,691.922429,679.078202,656.295662,603.124539,627.218470,610.591612,619.881096,659.643377,681.402036,730.605182,758.094025,719.503137,701.432291,683.407860,687.020176,706.222243,710.469891,721.013199,746.134394,791.981636,827.279128
5,366.136310,314.483225,214.357317,137.465957,83.013881,0.000000,76.059134,164.187741,251.158886,291.658581,367.178201,318.678626,221.720644,149.291154,99.371802,71.551060,116.464579,171.283967,224.068576,320.904380,400.079847,308.311786,241.112823,185.582710,146.013503,148.815516,192.363374,236.061752,297.264326,350.907568,411.778364,365.053175,288.223293,276.407838,230.188102,234.376845,262.297421,296.364748,352.910842,400.549983,454.355399,405.111389,364.376705,322.661963,278.260429,289.829930,329.881279,353.321674,418.957797,426.518224,488.018467,459.242275,392.345555,386.947778,347.161746,353.077735,369.893087,401.851815,439.915701,500.289208,567.260408,512.820312,468.895361,461.187113,458.508299,464.955714,455.011539,492.302943,502.699821,565.789414,584.901990,570.299869,536.546526,517.541742,533.539561,540.048627,511.010667,567.871934,587.429179,629.130376,694.419918,663.327552,601.695522,615.442184,587.249849,586.306713,618.559144,630.430387,675.647079,695.426891,732.292147,704.062452,675.821511,672.496079,679.090500,677.668457,678.118740,697.764365,739.442201,768.515016
6,439.110509,388.792424,286.809243,212.041907,154.430541,76.059134,0.000000,89.136670,179.212693,220.201864,443.177529,394.588720,297.010633,224.973328,170.454785,91.097560,114.801757,117.886413,162.993544,255.346257,475.857096,382.285969,311.523500,254.444161,197.745320,165.569189,184.274138,202.668679,251.928224,294.525780,485.002765,434.243206,351.884928,334.862285,268.276772,261.379117,258.346344,268.512964,315.926683,349.428541,522.201750,470.367397,422.473627,375.458844,316.826116,311.032111,336.040528,341.155274,389.462690,385.050648,552.721624,515.869276,445.726080,433.229756,377.774872,368.883037,373.549912,385.057798,418.809651,462.808608,627.166203,569.564871,515.080997,502.572777,487.761306,478.544754,461.084062,480.301433,484.706650,537.057895,640.393111,619.809876,579.402924,552.905567,557.681571,554.669578,515.974548,564.388427,570.050891,608.691407,747.285028,710.926205,643.906274,649.450737,611.735523,601.092035,625.066095,625.493296,665.220134,674.455097,783.224995,748.186896,712.488365,703.546624,698.852726,691.967481,681.876712,695.097839,731.363743,752.245235
7,528.192268,477.899017,375.879624,301.054006,243.539213,164.187741,89.136670,0.000000,92.646548,133.540849,531.037301,482.730863,382.095319,311.191338,252.459060,154.170008,151.716852,83.116549,98.312890,175.765546,561.614873,464.732583,389.913790,332.165559,263.010820,205.329255,194.529948,176.842851,202.484985,226.422563,565.792312,509.777296,422.079385,399.916899,316.033248,298.669291,262.423036,241.785572,273.322552,286.350475,595.292034,540.679337,485.175129,433.443321,362.217756,338.588659,345.316943,328.522633,352.754880,333.270213,621.569159,575.398278,502.712235,482.637129,411.953385,387.183149,377.788899,364.340245,391.317399,413.647170,689.419672,628.557901,562.620016,544.916671,516.765875,489.980782,464.409552,461.662349,458.732043,496.782643,697.135325,669.633949,622.021054,587.373837,579.178351,565.247555,516.314420,553.587589,542.656467,576.896414,799.896219,757.479453,684.840681,680.722337,632.560180,610.862652,624.716933,611.707778,644.278740,640.959203,833.191432,790.216524,746.045966,730.612352,712.768304,699.596442,677.324848,682.805968,712.203678,723.226806
8,617.195102,565.542714,465.125416,388.582818,332.828261,251.158886,179.212693,92.646548,0.000000,41.050138,614.276052,566.819372,461.424927,393.010373,330.413613,224.450403,205.054741,106.541659,65.485075,88.307061,640.653774,539.497185,460.663209,403.416652,325.000322,251.273951,216.409993,165.003758,154.874668,150.673727,637.364101,575.258425,483.027806,456.001088,358.747516,332.704431,267.644338,216.292886,225.369439,213.109210,656.774811,599.580097,536.604919,481.214328,400.097747,360.339524,348.212978,309.660978,305.824285,270.547746,677.691030,621.612634,547.619442,520.074725,436.317940,396.691370,373.377883,334.265677,352.430440,350.635562,737.086583,673.331958,596.122020,573.327298,532.014369,487.894281,454.850138,429.197439,418.647063,440.672050,738.454034,703.671422,649.075030,606.501500,584.913184,559.969173,501.811874,526.424579,498.634881,527.629619,835.396526,786.729291,709.002233,694.632628,636.382078,603.625966,606.674575,580.091966,604.724150,588.852247,865.387370,814.114172,761.369282,739.252897,707.871342,688.378677,653.916325,651.375578,673.347488,674.386829
9,657.783390,605.846406,505.811967,428.980585,373.591736,291.658581,220.201864,133.540849,41.050138,0.000000,653.423640,606.237993,499.725222,432.109759,368.777700,261.910762,238.974503,139.510397,89.040046,58.638134,678.572982,576.318354,496.525514,439.668712,359.174099,281.985613,240.690083,179.750554,152.402028,128.396510,672.988807,609.080338,515.752808,487.301589,386.539138,357.939537,283.823572,221.256333,217.989851,189.875249,689.020699,631.127875,565.861816,509.542308,425.714101,380.656980,361.319454,314.173536,296.290323,252.702015,708.016384,648.601225,574.512672,544.430702,456.550082,411.627564,382.900126,332.794502,346.126018,331.024243,764.175196,699.576005,618.510162,593.903619,547.698986,496.773697,460.853734,424.844901,410.620582,423.868589,763.164872,725.731090,668.670638,623.193688,596.238993,566.761343,505.046422,523.522736,487.667511,513.692505,857.557946,806.590435,727.152929,708.683441,646.537694,609.210705,607.369627,574.596717,595.164102,572.997420,886.162128,831.734463,775.689712,750.882304,713.832221,691.642043,651.808321,645.484344,663.719904,659.749585
